
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2E:B9:0B:A5:60:26, 2025-05-15 09:57:21, 2025-05-15 09:58:09,  1, 180, WPA2, CCMP, PSK, -55,       37,     1058,   0.  0.  0.  0,  28, Wifi FC Real Betis Balonpié, 
CA:E8:7B:67:40:F9, 2025-05-15 09:57:21, 2025-05-15 09:58:08,  1, 180, WPA2, CCMP, PSK, -48,       49,        2,   0.  0.  0.  0,  11, WiFi Rubén, 
6A:CC:26:37:43:F5, 2025-05-15 09:57:21, 2025-05-15 09:57:55,  7, 360, WPA3 WPA2, CCMP, SAE PSK, -57,        7,        1,   0.  0.  0.  0,  13, realme 12+ 5G, 
BE:BF:21:93:86:C6, 2025-05-15 09:57:21, 2025-05-15 09:58:11,  6, 360, WPA2, CCMP, PSK, -61,        9,        0,   0.  0.  0.  0,  13, AndroidAP27B8, 
CA:B7:00:63:0A:73, 2025-05-15 09:57:21, 2025-05-15 09:58:14, 13, 180, WPA2, CCMP, PSK, -55,      180,        5,   0.  0.  0.  0,  16, Redmi Note 8 Pro, 
1C:28:AF:BF:5E:00, 2025-05-15 09:57:22, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, MGT, -63,        9,        0,   0.  0.  0.  0,   7, eduroam, 
1C:28:AF:BF:5E:06, 2025-05-15 09:57:22, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -63,       12,        0,   0.  0.  0.  0,  18, gencat_ENS_EDIFICI, 
1C:28:AF:C2:BA:E0, 2025-05-15 09:57:22, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -73,       18,        0,   0.  0.  0.  0,   7, eduroam, 
1C:28:AF:C2:BA:E5, 2025-05-15 09:57:22, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, PSK, -53,       18,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C2:BA:E6, 2025-05-15 09:57:22, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, PSK, -52,       18,        0,   0.  0.  0.  0,  18, gencat_ENS_EDIFICI, 
1C:28:AF:BF:9A:66, 2025-05-15 09:57:22, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, PSK, -64,        9,        0,   0.  0.  0.  0,  18, gencat_ENS_EDIFICI, 
1C:28:AF:BF:9A:60, 2025-05-15 09:57:23, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, MGT, -63,        5,        0,   0.  0.  0.  0,   7, eduroam, 
1C:28:AF:BF:9A:64, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -66,        4,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:9A:65, 2025-05-15 09:57:23, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, PSK, -63,        9,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C0:8E:20, 2025-05-15 09:57:23, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, MGT, -59,        9,        0,   0.  0.  0.  0,   7, eduroam, 
1C:28:AF:C0:8E:21, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -64,        6,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C0:8E:22, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, OPN, ,   , -63,        6,        0,   0.  0.  0.  0,  21, gencat_ENS_EDU_PORTAL, 
1C:28:AF:C0:8E:23, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -64,        6,        0,   0.  0.  0.  0,  14, gencat_ENS_EDU, 
1C:28:AF:C2:60:80, 2025-05-15 09:57:23, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, MGT, -60,        9,        0,   0.  0.  0.  0,   7, eduroam, 
1C:28:AF:C2:60:81, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -64,        6,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:9A:63, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -67,        3,        2,   0.  0.  0.  0,  14, gencat_ENS_EDU, 
1C:28:AF:C2:60:84, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -62,        5,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:FE:C5, 2025-05-15 09:57:23, 2025-05-15 09:58:08,  9, 130, WPA2, CCMP, PSK, -62,        4,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C2:BA:E2, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, OPN, ,   , -54,        3,        0,   0.  0.  0.  0,  21, gencat_ENS_EDU_PORTAL, 
1C:28:AF:C2:BA:E3, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -55,        4,        0,   0.  0.  0.  0,  14, gencat_ENS_EDU, 
1C:28:AF:C2:BA:E4, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -55,        6,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:9A:62, 2025-05-15 09:57:23, 2025-05-15 09:57:54,  9, 130, OPN, ,   , -65,        3,        0,   0.  0.  0.  0,  21, gencat_ENS_EDU_PORTAL, 
1C:28:AF:BF:5E:01, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -64,        4,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:5E:02, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, OPN, ,   , -64,        6,        0,   0.  0.  0.  0,  21, gencat_ENS_EDU_PORTAL, 
1C:28:AF:BF:5E:03, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -64,        7,        0,   0.  0.  0.  0,  14, gencat_ENS_EDU, 
1C:28:AF:BF:5E:04, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -64,        6,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:5E:05, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -62,        8,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C0:8E:24, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -63,        3,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C2:60:85, 2025-05-15 09:57:23, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, PSK, -60,        8,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C2:60:86, 2025-05-15 09:57:23, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, PSK, -59,        8,        0,   0.  0.  0.  0,  18, gencat_ENS_EDIFICI, 
1C:28:AF:C2:BA:E1, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -55,        3,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C0:8E:25, 2025-05-15 09:57:23, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -61,        7,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C0:8E:26, 2025-05-15 09:57:23, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, PSK, -62,       12,        0,   0.  0.  0.  0,  18, gencat_ENS_EDIFICI, 
26:0F:3D:5E:11:7F, 2025-05-15 09:57:23, 2025-05-15 09:57:48, 11, 360, WPA2, CCMP, PSK, -72,        1,        1,   0.  0.  0.  0,  13, OnePlus 11 5G, 
02:14:9E:76:22:F3, 2025-05-15 09:57:24, 2025-05-15 09:58:13, 11, 180, WPA2, CCMP, PSK, -69,        4,        0,   0.  0.  0.  0,   9, Redmi 10C, 
1C:28:AF:BF:92:A5, 2025-05-15 09:57:24, 2025-05-15 09:58:14, 13, 130, WPA2, CCMP, PSK, -68,        8,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C3:10:23, 2025-05-15 09:57:28, 2025-05-15 09:58:14, 12,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:92:A0, 2025-05-15 09:57:34, 2025-05-15 09:57:58, 13, 130, WPA2, CCMP, MGT, -77,        5,        0,   0.  0.  0.  0,   7, eduroam, 
1E:DC:48:56:3E:3B, 2025-05-15 09:57:36, 2025-05-15 09:57:36,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C2:60:82, 2025-05-15 09:57:38, 2025-05-15 09:58:09,  9, 130, OPN, ,   , -63,        5,        0,   0.  0.  0.  0,  21, gencat_ENS_EDU_PORTAL, 
1C:28:AF:BF:FE:C2, 2025-05-15 09:57:38, 2025-05-15 09:58:09,  9, 130, OPN, ,   , -68,        6,        0,   0.  0.  0.  0,  21, gencat_ENS_EDU_PORTAL, 
1C:28:AF:BF:FE:C3, 2025-05-15 09:57:38, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -67,        3,        0,   0.  0.  0.  0,  14, gencat_ENS_EDU, 
1C:28:AF:BF:FE:C4, 2025-05-15 09:57:38, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, PSK, -70,        2,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:FE:C6, 2025-05-15 09:57:38, 2025-05-15 09:58:10,  9, 130, WPA2, CCMP, PSK, -67,        3,        0,   0.  0.  0.  0,  18, gencat_ENS_EDIFICI, 
1C:28:AF:C2:60:83, 2025-05-15 09:57:38, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -63,        3,        0,   0.  0.  0.  0,  14, gencat_ENS_EDU, 
1C:28:AF:BF:FE:C1, 2025-05-15 09:57:38, 2025-05-15 09:57:54,  9, 130, WPA2, CCMP, MGT, -68,        2,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:C0:8E:05, 2025-05-15 09:57:39, 2025-05-15 09:57:39,  5, 130, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:92:A6, 2025-05-15 09:57:49, 2025-05-15 09:58:12, 13, 130, WPA2, CCMP, PSK, -70,        2,        0,   0.  0.  0.  0,  18, gencat_ENS_EDIFICI, 
1C:28:AF:C0:8E:00, 2025-05-15 09:57:54, 2025-05-15 09:57:54,  5, 130, WPA2, CCMP, MGT, -69,        1,        0,   0.  0.  0.  0,   7, eduroam, 
26:5E:CC:A8:EA:AD, 2025-05-15 09:58:06, 2025-05-15 09:58:06, 12,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1C:28:AF:BF:92:A2, 2025-05-15 09:58:08, 2025-05-15 09:58:08, 13, 130, OPN, ,   , -65,        1,        0,   0.  0.  0.  0,  21, gencat_ENS_EDU_PORTAL, 
1C:28:AF:BF:92:A3, 2025-05-15 09:58:08, 2025-05-15 09:58:08, 13, 130, WPA2, CCMP, MGT, -65,        1,        0,   0.  0.  0.  0,  14, gencat_ENS_EDU, 
1C:28:AF:BF:FE:C0, 2025-05-15 09:58:09, 2025-05-15 09:58:09,  9, 130, WPA2, CCMP, MGT, -69,        1,        0,   0.  0.  0.  0,   7, eduroam, 
F4:CA:E7:3E:5C:86, 2025-05-15 09:58:10, 2025-05-15 09:58:11,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AC:71:2E:21:B6:B8, 2025-05-15 09:58:13, 2025-05-15 09:58:13, 12,  -1, WPA, ,   , -75,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E8:6F:38:64:20:7D, 2025-05-15 09:57:21, 2025-05-15 09:58:09, -54,     1058, 2E:B9:0B:A5:60:26,
94:FF:3C:C1:0F:58, 2025-05-15 09:57:23, 2025-05-15 09:57:23, -73,        1, (not associated) ,
BA:14:15:68:88:B0, 2025-05-15 09:57:27, 2025-05-15 09:57:27, -68,        1, (not associated) ,
10:3D:1C:5E:9D:D6, 2025-05-15 09:57:27, 2025-05-15 09:57:27, -46,        1, (not associated) ,
C6:A3:77:12:83:BD, 2025-05-15 09:57:27, 2025-05-15 09:57:34, -58,        3, CA:B7:00:63:0A:73,
74:DF:BF:9B:07:95, 2025-05-15 09:57:28, 2025-05-15 09:57:28, -66,        1, 1C:28:AF:C3:10:23,
DC:1B:A1:E6:83:22, 2025-05-15 09:57:28, 2025-05-15 09:57:28, -55,        1, (not associated) ,
A8:41:F4:7F:9F:23, 2025-05-15 09:57:29, 2025-05-15 09:57:29, -82,        1, (not associated) ,
12:78:CE:3F:27:87, 2025-05-15 09:57:31, 2025-05-15 09:57:31, -61,        1, (not associated) ,
A8:93:4A:C9:F3:C1, 2025-05-15 09:57:32, 2025-05-15 09:57:32, -69,        3, (not associated) ,
D6:18:F8:07:9B:95, 2025-05-15 09:57:32, 2025-05-15 09:57:32, -48,        1, (not associated) ,
00:0C:E7:9B:95:AD, 2025-05-15 09:57:33, 2025-05-15 09:57:33, -55,        2, (not associated) ,
BC:F4:D4:E6:F4:85, 2025-05-15 09:57:34, 2025-05-15 09:57:34, -61,        1, (not associated) ,
FC:02:96:F3:B5:2C, 2025-05-15 09:57:34, 2025-05-15 09:57:56, -76,        7, (not associated) ,
96:A3:A7:34:5E:75, 2025-05-15 09:57:34, 2025-05-15 09:57:34, -62,        1, (not associated) ,
56:28:40:4D:1E:C3, 2025-05-15 09:57:34, 2025-05-15 09:57:34, -63,        1, (not associated) ,
04:EC:D8:B0:FF:54, 2025-05-15 09:57:34, 2025-05-15 09:57:34,  -1,        1, CA:B7:00:63:0A:73,
74:4C:A1:44:FB:49, 2025-05-15 09:57:36, 2025-05-15 09:57:55, -61,        7, 6A:CC:26:37:43:F5,
7E:1C:1D:8B:D0:99, 2025-05-15 09:57:39, 2025-05-15 09:57:39, -51,        3, (not associated) ,
22:11:DD:EF:26:93, 2025-05-15 09:57:39, 2025-05-15 09:57:39, -70,        1, (not associated) ,
AC:12:03:B6:3A:0A, 2025-05-15 09:57:41, 2025-05-15 09:57:41, -54,        2, (not associated) ,gencat_ENS_EDU_PORTAL
5E:5F:8B:E4:8C:15, 2025-05-15 09:57:44, 2025-05-15 09:57:44, -64,        3, (not associated) ,MIWIFI_dfax
04:EC:D8:B1:8E:AB, 2025-05-15 09:57:46, 2025-05-15 09:57:46,  -1,        1, CA:B7:00:63:0A:73,
EA:77:B5:99:F9:29, 2025-05-15 09:57:46, 2025-05-15 09:57:46, -63,        1, (not associated) ,
04:EC:D8:B2:2B:86, 2025-05-15 09:57:47, 2025-05-15 09:57:47, -62,        1, (not associated) ,Xiaomi Ian
1C:CE:51:E9:59:AF, 2025-05-15 09:57:47, 2025-05-15 09:57:47, -60,        2, (not associated) ,
86:5C:83:B9:71:38, 2025-05-15 09:57:47, 2025-05-15 09:57:47, -71,        1, (not associated) ,
CE:4C:0B:A8:DE:2A, 2025-05-15 09:57:49, 2025-05-15 09:57:49, -50,        4, (not associated) ,Viladomat Guest
7E:77:CF:DE:18:F2, 2025-05-15 09:57:50, 2025-05-15 09:57:50, -57,        1, (not associated) ,
46:2E:5F:4F:41:44, 2025-05-15 09:57:54, 2025-05-15 09:57:54, -56,        9, (not associated) ,MOVISTAR_PLUS_5940,MiFibra-BE84,MOVISTAR_PLUS_59F7,TP-Link_8B86,MiFibra-F250,MOVISTAR_59F7,MIWIFI_2G_r7GP
96:F7:6E:1B:89:CD, 2025-05-15 09:57:54, 2025-05-15 09:57:54, -60,        1, (not associated) ,
BE:00:8E:BA:1B:9B, 2025-05-15 09:57:55, 2025-05-15 09:57:55, -75,        1, (not associated) ,
D2:AB:8D:9A:31:30, 2025-05-15 09:57:55, 2025-05-15 09:57:55, -71,        1, (not associated) ,
16:82:18:25:4C:33, 2025-05-15 09:57:56, 2025-05-15 09:57:56, -75,        1, (not associated) ,eduroam
3E:3A:11:B1:46:9D, 2025-05-15 09:57:56, 2025-05-15 09:57:56, -68,        2, (not associated) ,
5C:FB:3A:34:77:DB, 2025-05-15 09:57:58, 2025-05-15 09:57:58, -52,        7, (not associated) ,
B4:8C:9D:61:63:BD, 2025-05-15 09:57:58, 2025-05-15 09:57:58, -60,        2, (not associated) ,
3A:51:A4:74:37:BA, 2025-05-15 09:58:00, 2025-05-15 09:58:00, -60,        1, (not associated) ,
C0:35:32:A1:45:99, 2025-05-15 09:58:00, 2025-05-15 09:58:00, -56,        1, (not associated) ,
62:43:F7:0E:09:6C, 2025-05-15 09:58:00, 2025-05-15 09:58:00, -61,        1, (not associated) ,
D6:B6:62:51:29:23, 2025-05-15 09:58:01, 2025-05-15 09:58:01, -64,        2, (not associated) ,
74:DF:BF:9B:07:61, 2025-05-15 09:58:01, 2025-05-15 09:58:14, -62,        4, 1C:28:AF:C3:10:23,
FE:A9:F5:C6:14:24, 2025-05-15 09:58:02, 2025-05-15 09:58:02, -59,        1, (not associated) ,
CA:BB:F5:4D:26:E4, 2025-05-15 09:58:03, 2025-05-15 09:58:03, -61,        1, (not associated) ,
00:45:E2:DC:2A:05, 2025-05-15 09:58:04, 2025-05-15 09:58:05, -56,        5, (not associated) ,
A8:E2:91:47:4C:60, 2025-05-15 09:58:05, 2025-05-15 09:58:05, -58,        1, (not associated) ,
C0:35:32:35:8B:AB, 2025-05-15 09:58:05, 2025-05-15 09:58:07, -59,        6, CA:E8:7B:67:40:F9,
82:23:33:76:AB:F4, 2025-05-15 09:58:05, 2025-05-15 09:58:05, -61,        6, (not associated) ,MiFibra-3B40,MiFibra-BE44,WifiMaSpU,MOVISTAR_A3DE,Móvil De Hugo
14:13:33:05:81:5D, 2025-05-15 09:58:06, 2025-05-15 09:58:06, -55,        4, 26:5E:CC:A8:EA:AD,
2A:E3:AB:D2:2F:9A, 2025-05-15 09:58:10, 2025-05-15 09:58:13, -60,       43, F4:CA:E7:3E:5C:86,
B0:3C:DC:4A:41:F1, 2025-05-15 09:58:12, 2025-05-15 09:58:12, -57,        1, (not associated) ,
04:EC:D8:B2:60:D8, 2025-05-15 09:58:13, 2025-05-15 09:58:13, -61,        1, (not associated) ,
18:4F:32:50:35:7B, 2025-05-15 09:58:13, 2025-05-15 09:58:13, -40,        4, (not associated) ,
94:F3:92:0F:77:88, 2025-05-15 09:58:14, 2025-05-15 09:58:14, -78,        1, (not associated) ,

